,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_title,artist,opinion
574,0.358,0.715,7,-6.181,1,0.331,0.197,0,0.581,0.275,85.478,319253,4,IFHY (feat. Pharrell),"Tyler, The Creator",1
575,0.24,0.116,0,-13.216,1,0.0329,0.877,0.00092,0.1,0.0937,77.349,188324,3,Moon River,Frank Ocean,1
576,0.51,0.363,5,-8.635,1,0.0304,0.853,0,0.109,0.426,78,254919,4,We Find Love,Daniel Caesar,NA
577,0.654,0.325,2,-11.925,1,0.282,0.74,2.14E-05,0.152,0.39,139.886,243238,4,Provider,Frank Ocean,1
578,0.707,0.238,3,-8.818,1,0.0379,0.0905,2.42E-06,0.0842,0.345,124.156,270847,3,Japanese Denim,Daniel Caesar,NA
579,0.577,0.523,0,-5.538,0,0.0429,0.491,0,0.147,0.29,134.93,231400,4,Drew Barrymore,SZA,NA
580,0.64,0.548,7,-6.965,1,0.147,0.543,3.1E-06,0.303,0.181,148.077,212495,4,Biking (Solo),Frank Ocean,NA
581,0.569,0.299,11,-8.603,1,0.275,0.739,0,0.054,0.505,81.049,198160,4,20 Something,SZA,NA
582,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4,Who Hurt You?,Daniel Caesar,NA
583,0.945,0.702,11,-5.016,0,0.12,0.591,0.000538,0.0788,0.678,119.887,259000,4,FACE,BROCKHAMPTON,1
584,0.448,0.263,11,-11.98,1,0.0373,0.824,1.91E-06,0.106,0.451,109.889,241371,1,Blessed,Daniel Caesar,NA
585,0.395,0.153,2,-25.367,1,0.0346,0.717,0.00439,0.098,0.287,80.587,242973,4,What Kind of Love,Childish Gambino,NA
586,0.681,0.333,9,-8.582,1,0.0974,0.588,0,0.086,0.564,118.05,227655,4,Lens,Frank Ocean,1
587,0.591,0.361,3,-11.879,0,0.0539,0.735,0.00227,0.654,0.175,132.08,316188,4,Plastic 100°C,Sampha,NA
588,0.73,0.457,9,-7.26,1,0.283,0.0705,0,0.124,0.549,111.352,208400,4,Garden (Say It Like Dat),SZA,NA
589,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00482,0.0959,0.537,117.024,155720,4,Loving Is Easy,Rex Orange County,1
590,0.438,0.266,7,-12.863,1,0.0363,0.922,0.000298,0.148,0.116,120.075,231681,4,Juno,Choker,NA
591,0.415,0.427,6,-12.252,1,0.0319,0.768,8.7E-05,0.0623,0.317,150.473,279643,4,Treasure,Sampha,NA
592,0.372,0.485,5,-8.841,1,0.0761,0.667,0.00386,0.14,0.433,170.417,211669,4,Baby Boy,Kevin Abstract,1
593,0.597,0.495,8,-8.674,1,0.201,0.215,0.000163,0.104,0.171,76.991,253800,4,9,WILLOW,NA
594,0.535,0.448,1,-8.919,0,0.175,0.601,0,0.376,0.284,120.554,343213,4,ROS,Mac Miller,NA
595,0.69,0.387,11,-9.116,0,0.0627,0.416,0.239,0.252,0.471,83.981,234286,4,Fangs,Matt Champion,NA
596,0.811,0.402,4,-4.908,1,0.0406,0.103,0,0.0785,0.815,86.023,100563,4,Only If,Steve Lacy,NA
597,0.709,0.496,1,-10.528,0,0.0417,0.581,0.191,0.151,0.469,78.477,181587,4,Still Beating,Mac DeMarco,1
598,0.653,0.668,0,-8.183,1,0.0881,0.00116,0.00269,0.0731,0.711,160.048,257187,4,Swim Good,Frank Ocean,1
599,0.669,0.0809,0,-17.282,1,0.0365,0.983,0.41,0.114,0.0922,114.355,160093,3,Beach Baby,Bon Iver,NA
600,0.875,0.41,7,-6.29,0,0.0571,0.0674,0.0374,0.106,0.445,87.999,267400,4,Wanna Be,The Internet,NA
601,0.665,0.351,6,-11.461,1,0.0437,0.591,0.0118,0.109,0.241,123.111,203213,4,Trouble,Omar Apollo,1
